mjd,mag,magerr
51081.411600,19.74,0.016
51818.397540,19.369,0.012
51875.226519,19.314,0.012
52171.385646,19.427,0.012
52171.458942,19.365,0.012
52173.361899,19.335,0.012
52224.342111,19.435,0.012
52225.307392,19.429,0.012
52234.298544,19.531,0.013
52261.261900,19.46,0.012
52283.129273,19.398,0.014
52287.142395,19.391,0.012
52288.141814,19.374,0.012
52551.415101,19.41,0.013
52552.461089,19.449,0.012
52557.435447,19.464,0.012
52558.447973,19.436,0.012
52578.319582,19.421,0.012
52585.282563,19.444,0.012
52585.336777,19.463,0.012
52908.410016,19.357,0.012
52909.449195,19.328,0.011
52910.419438,19.328,0.012
52912.389455,19.343,0.012
52934.341922,19.318,0.011
52935.346609,19.314,0.012
52936.337848,19.32,0.011
52963.269688,19.363,0.012
53270.401960,19.457,0.018
53272.451846,19.416,0.012
53286.420566,19.41,0.014
53288.379060,19.421,0.012
53294.426730,19.469,0.019
53296.373778,19.437,0.023
53298.423507,19.439,0.012
53302.374729,19.453,0.017
53312.330291,19.473,0.02
53314.331459,19.482,0.015
53319.319255,19.547,0.015
53351.191992,19.373,0.013
53616.435811,19.336,0.012
53622.449041,19.314,0.011
53627.406138,19.331,0.013
53628.397103,19.365,0.016
53634.398511,19.332,0.026
53638.439847,19.332,0.014
53639.444100,19.34,0.013
53640.403884,19.276,0.013
53641.443265,19.314,0.013
53643.446359,19.326,0.013
53646.465291,19.284,0.012
53657.402149,19.34,0.021
53663.386697,19.28,0.023
53663.465708,19.281,0.028
53664.401013,19.265,0.02
53665.364670,19.324,0.02
53665.465640,19.295,0.02
53666.456780,19.308,0.017
53668.376298,19.295,0.015
53668.454257,19.313,0.019
53669.360258,19.289,0.015
53670.381151,19.327,0.015
53670.460229,19.262,0.015
53671.445006,19.303,0.014
53673.349138,19.288,0.011
53674.344496,19.264,0.012
53675.346025,19.303,0.012
53676.433948,19.265,0.012
53679.405852,19.298,0.013
53680.353723,19.309,0.011
53681.397366,19.278,0.013
53684.358864,19.298,0.023
53686.353155,19.282,0.023
53687.300178,19.198,0.031
53687.410537,19.336,0.043
53693.355613,19.274,0.026
53694.370320,19.294,0.023
53696.363084,19.299,0.015
53697.354393,19.303,0.015
53699.376449,19.287,0.014
53700.353347,19.252,0.012
53704.338934,19.289,0.013
53705.340018,19.277,0.013
53975.425046,19.267,0.027
53989.435126,19.301,0.021
53994.448023,19.244,0.016
53996.431781,19.22,0.022
53997.458590,19.239,0.019
54000.410405,19.243,0.023
54005.444929,19.28,0.016
54007.460546,19.262,0.015
54009.384328,19.281,0.015
54009.458745,19.267,0.017
54010.385910,19.257,0.02
54011.448881,19.26,0.021
54012.378740,19.267,0.021
54012.461622,19.271,0.023
54019.443824,19.282,0.02
54020.416786,19.268,0.029
54024.466301,19.232,0.018
54025.447927,19.26,0.035
54028.454574,19.233,0.028
54030.410003,19.258,0.018
54035.454041,19.28,0.022
54037.359497,19.248,0.019
54040.374003,19.224,0.017
54041.409511,19.255,0.02
54049.400414,19.219,0.022
54050.360632,19.286,0.032
54056.366438,19.22,0.021
54059.360712,19.262,0.019
54061.371796,19.274,0.028
54062.365592,19.279,0.023
54064.362060,19.259,0.024
54068.346179,19.28,0.017
54346.441652,19.247,0.022
54348.445566,19.208,0.016
54357.403904,19.217,0.02
54358.401412,19.201,0.025
54362.453736,19.22,0.017
54365.434489,19.206,0.029
54376.448825,19.255,0.022
54381.454028,19.201,0.022
54382.433920,19.229,0.03
54385.451730,19.262,0.02
54386.446393,19.264,0.02
54387.452243,19.233,0.016
54388.450698,19.264,0.023
54390.444621,19.207,0.022
54391.453042,19.224,0.02
54392.448316,19.271,0.027
54402.445424,19.251,0.03
54404.422160,19.289,0.034
54406.358283,19.215,0.019
54409.363145,19.228,0.022
54412.383987,19.269,0.021
